,eventId,minute,second,teamId,x,y,expandedMinute,period,type,outcomeType,qualifiers,satisfiedEventsTypes,isTouch,playerId,endX,endY,blockedX,blockedY,goalMouthZ,goalMouthY,isShot,relatedEventId,relatedPlayerId,isGoal,cardType,isOwnGoal,match_id,eventType,cumulative_mins,index,id,home_team_id,away_team_id,ftScore,match_date,progressive_pass,xThreat,xThreat_gen,lead_to_shot,lead_to_goal,key_pass,isAssist,isCross,isCorner,isFreekick,isGoalkick,is_offensive,is_bigchance,is_penalty,is_own_goal,X,Y,EndX,EndY,BlockedX,BlockedY,GoalMouthY,isblocked,body,isShotonTarget,name,short_name,team_id,team_name
20,14.0,1.0,7.0,167,54.3,30.5,1.0,1.0,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '38.2'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '5.3'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.49'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '54.7'}]","[91, 119, 117, 30, 36, 37, 216, 218]",True,69778.0,54.7,38.2,,,,,,,,,,0.0,1729305,Pass,1.1166666666666667,19.0,2602288243.0,13.0,167.0,1-0,08 October 2023,,0.00023715210704698675,0.00023715210704698675,,False,False,,False,,,,,,,False,65.16,24.400000000000002,65.64,30.560000000000002,,,,,,False,Kyle Walker,K.Walker,167,Man City
21,14.5,1.0,11.0,167,54.7,38.2,1.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,136741.0,48.4,44.9,,,,,,15.0,,,,,1729305,Carry,1.1833333333333333,,,,,,,,-0.0015878477074521974,0.0,,False,False,,False,,,,,,,False,65.64,30.560000000000002,58.08,35.92,,,,,foot,False,Bernardo Silva,B.Silva,167,Man City
22,15.0,1.0,15.0,167,48.4,44.9,1.0,1.0,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '55.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.4'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '36.2'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.61'}]","[91, 119, 117, 30, 36, 38, 216, 218]",True,136741.0,55.4,36.2,,,,,,,,,,0.0,1729305,Pass,1.25,20.0,2602288269.0,13.0,167.0,1-0,08 October 2023,,0.001771516210790372,0.001771516210790372,,False,False,,False,,,,,,,False,58.08,35.92,66.47999999999999,28.960000000000004,,,,,,False,Bernardo Silva,B.Silva,167,Man City
23,16.0,1.0,17.0,167,55.4,36.2,1.0,1.0,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '47.6'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '2.60'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '9.5'}]","[91, 117, 30, 35, 37, 216, 218]",True,444791.0,47.6,43.4,,,,,,,,,,0.0,1729305,Pass,1.2833333333333332,21.0,2602288353.0,13.0,167.0,1-0,08 October 2023,,-0.001979297862186513,0.0,,False,False,,False,,,,,,,False,66.47999999999999,28.960000000000004,57.12,34.72,,,,,,False,Rico Lewis,R.Lewis,167,Man City
24,16.5,1.0,19.0,167,47.6,43.4,1.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,136741.0,53.1,54.2,,,,,,17.0,,,,,1729305,Carry,1.3166666666666667,,,,,,,,0.001364743813558304,0.001364743813558304,,False,False,,False,,,,,,,False,57.12,34.72,63.72,43.36000000000001,,,,,foot,False,Bernardo Silva,B.Silva,167,Man City
25,17.0,1.0,21.0,167,53.1,54.2,1.0,1.0,Pass,Successful,"[{'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.60'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '52.9'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '65.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Center'}]","[91, 119, 117, 30, 35, 37, 216, 218]",True,136741.0,52.9,65.9,,,,,,,,,,0.0,1729305,Pass,1.35,22.0,2602288409.0,13.0,167.0,1-0,08 October 2023,,-0.0001381396248651065,0.0,,False,False,,False,,,,,,,False,63.72,43.36000000000001,63.48,52.720000000000006,,,,,,False,Bernardo Silva,B.Silva,167,Man City
26,17.5,1.0,22.0,167,52.9,65.9,1.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,93894.0,46.6,65.6,,,,,,18.0,,,,,1729305,Carry,1.3666666666666667,,,,,,,,-0.0018378162427893363,0.0,,False,False,,False,,,,,,,False,63.48,52.720000000000006,55.92,52.48,,,,,foot,False,Mateo Kovacic,M.Kovacic,167,Man City
27,18.0,1.0,23.0,167,46.6,65.6,1.0,1.0,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '35.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '42.4'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '20.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '4.50'}]","[91, 117, 30, 35, 38, 216, 218]",True,93894.0,42.4,35.5,,,,,,,,,,0.0,1729305,Pass,1.3833333333333333,23.0,2602288535.0,13.0,167.0,1-0,08 October 2023,,-0.0009259842768594411,0.0,,False,False,,False,,,,,,,False,55.92,52.48,50.879999999999995,28.400000000000002,,,,,,False,Mateo Kovacic,M.Kovacic,167,Man City
28,19.0,1.0,29.0,167,42.5,32.6,1.0,1.0,Pass,Successful,"[{'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '36.8'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '17.6'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.0'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.92'}]","[91, 117, 30, 35, 37, 216, 218]",True,313171.0,36.8,57.0,,,,,,,,,,0.0,1729305,Pass,1.4833333333333334,24.0,2602288617.0,13.0,167.0,1-0,08 October 2023,,-0.0011683599679860011,0.0,,False,False,,False,,,,,,,False,51.0,26.080000000000002,44.16,45.6,,,,,,False,Rúben Dias,R.Dias,167,Man City
29,20.0,1.0,34.0,167,35.7,56.6,1.0,1.0,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.8'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '0.00'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.1'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '56.6'}]","[91, 117, 30, 36, 216, 218]",True,122945.0,44.1,56.6,,,,,,,,,,0.0,1729305,Pass,1.5666666666666667,25.0,2602288653.0,13.0,167.0,1-0,08 October 2023,,0.0020312919886553253,0.0020312919886553253,,False,False,,False,,,,,,,False,42.84,45.28,52.92,45.28,,,,,,False,Nathan Aké,N.Aké,167,Man City
30,21.0,1.0,35.0,167,44.1,56.6,1.0,1.0,Pass,Successful,"[{'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '57.9'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '7.0'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.01'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '37.5'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}]","[91, 117, 30, 35, 37, 216, 218]",True,136741.0,37.5,57.9,,,,,,,,,,0.0,1729305,Pass,1.5833333333333335,26.0,2602288703.0,13.0,167.0,1-0,08 October 2023,,-0.0017371240256472721,0.0,,False,False,,False,,,,,,,False,52.92,45.28,45.0,46.32,,,,,,False,Bernardo Silva,B.Silva,167,Man City
31,21.5,1.0,36.5,167,37.5,57.9,1.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,122945.0,42.2,55.7,,,,,,22.0,,,,,1729305,Carry,1.6083333333333334,,,,,,,,0.0012445242882071286,0.0012445242882071286,,False,False,,False,,,,,,,False,45.0,46.32,50.64,44.56,,,,,foot,False,Nathan Aké,N.Aké,167,Man City
32,22.0,1.0,38.0,167,42.2,55.7,1.0,1.0,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '43.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '44.7'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '5.01'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.8'}]","[91, 117, 30, 36, 38, 216, 218]",True,122945.0,44.7,43.3,,,,,,,,,,0.0,1729305,Pass,1.6333333333333333,27.0,2602288837.0,13.0,167.0,1-0,08 October 2023,,0.0006511114837810788,0.0006511114837810788,,False,False,,False,,,,,,,False,50.64,44.56,53.64,34.64,,,,,,False,Nathan Aké,N.Aké,167,Man City
33,22.5,1.0,41.0,167,44.7,43.3,1.0,1.0,"{'value': 99, 'displayName': 'Carry'}",Successful,"{'type': {'value': 999, 'displayName': 'takeOns'}, 'value': '0'}",[],True,444791.0,44.1,35.3,,,,,,23.0,,,,,1729305,Carry,1.6833333333333333,,,,,,,,-0.00043336476151827584,0.0,,False,False,,False,,,,,,,False,53.64,34.64,52.92,28.24,,,,,foot,False,Rico Lewis,R.Lewis,167,Man City
34,23.0,1.0,44.0,167,44.1,35.3,1.0,1.0,Pass,Successful,"[{'type': {'value': 212, 'displayName': 'Length'}, 'value': '8.4'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '27.1'}, {'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '38.1'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '3.87'}]","[91, 117, 30, 35, 38, 216, 218]",True,444791.0,38.1,27.1,,,,,,,,,,0.0,1729305,Pass,1.7333333333333334,28.0,2602288877.0,13.0,167.0,1-0,08 October 2023,,-0.001470156307185562,0.0,,False,False,,False,,,,,,,False,52.92,28.24,45.72,21.680000000000003,,,,,,False,Rico Lewis,R.Lewis,167,Man City
35,24.0,1.0,47.0,167,38.2,27.5,1.0,1.0,Pass,Successful,"[{'type': {'value': 56, 'displayName': 'Zone'}, 'value': 'Back'}, {'type': {'value': 212, 'displayName': 'Length'}, 'value': '22.3'}, {'type': {'value': 140, 'displayName': 'PassEndX'}, 'value': '35.2'}, {'type': {'value': 141, 'displayName': 'PassEndY'}, 'value': '59.9'}, {'type': {'value': 213, 'displayName': 'Angle'}, 'value': '1.71'}]","[91, 117, 30, 35, 37, 216, 218]",True,313171.0,35.2,59.9,,,,,,,,,,0.0,1729305,Pass,1.7833333333333332,29.0,2602289015.0,13.0,167.0,1-0,08 October 2023,,-0.00040502205282609907,0.0,,False,False,,False,,,,,,,False,45.84,22.0,42.24,47.92,,,,,,False,Rúben Dias,R.Dias,167,Man City
